Designator,Mid X,Mid Y,Layer,Rotation
C1, 9.02,92.96,Top,90.0
C2,23.75,92.96,Top,90.0
C3,38.35,92.96,Top,90.0
C4,52.96,92.96,Top,90.0
C5,67.44,92.96,Top,90.0
R20, 9.02,85.73,Top,270.0
R21,23.75,85.85,Top,270.0
R27,38.35,85.85,Top,270.0
R28,52.96,85.85,Top,270.0
R29,67.44,85.85,Top,270.0
