Comment,Designator,Footprint,LCSC Part #
1K,R1 R2 R3 R4 R5 R17 R25 R26,M0805,
1k,R22,M0805,
10k,R18 R19,M0805,
24k9,R30,M0805,
47uf,C6 C7,PANASONIC_D,
100K,R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R23 R24,M0805,
100n,C8 C9 C10 C11,C0805,
MB1S,D1,SOIC-4,
TL074,IC1 IC2,SO14,
